ID,Language,SessionNumber,SessionName,Abbreviation,StartDate,EndDate,Title,Type,TypeName,Modified,LegislativePeriodNumber
4705,DE,5,Herbstsession 2004,HS04,/Date(1095638400000)/,/Date(1097193600000)/,III/2004,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961631443)/,47
4706,DE,6,Wintersession 2004,WS04,/Date(1101686400000)/,/Date(1103241600000)/,IV/2004,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961632053)/,47
4707,DE,7,Frühjahrssession 2005,FS05,/Date(1109548800000)/,/Date(1111104000000)/,I/2005,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961639150)/,47
4708,DE,8,Sommersession 2005,SoSe05,/Date(1117411200000)/,/Date(1118966400000)/,II/2005,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961637633)/,47
4709,DE,9,Herbstsession 2005,HS05,/Date(1127088000000)/,/Date(1128643200000)/,III/2005,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961630647)/,47
4710,DE,10,Wintersession 2005,WS-05,/Date(1133136000000)/,/Date(1134691200000)/,IV/2005,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961638790)/,47
4711,DE,11,Frühjahrssession 2006,FS06,/Date(1141603200000)/,/Date(1143158400000)/,I/2006,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961628740)/,47
4712,DE,12,Sondersession Mai 2006,Mai06,/Date(1147046400000)/,/Date(1147305600000)/,II/2006,3,Sondersession (1 Woche),/Date(1598961631587)/,47
4713,DE,13,Sommersession 2006,SoSe06,/Date(1149552000000)/,/Date(1151020800000)/,II/2006,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961631930)/,47
4714,DE,14,Herbstsession 2006,HS06,/Date(1158537600000)/,/Date(1160092800000)/,III/2006,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961631240)/,47
4715,DE,15,Wintersession 2006,WS06,/Date(1165190400000)/,/Date(1166572800000)/,IV/2006,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961629897)/,47
4716,DE,16,Frühjahrssession 2007,FS07,/Date(1173052800000)/,/Date(1174608000000)/,I/2007,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961639463)/,47
4717,DE,17,Sommersession 2007,SS07,/Date(1180915200000)/,/Date(1182470400000)/,II/2007,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961639230)/,47
4718,DE,18,Herbstsession 2007,HS07,/Date(1189987200000)/,/Date(1191542400000)/,III/2007,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961633133)/,47
4801,DE,1,Wintersession 2007,WS07,/Date(1196640000000)/,/Date(1198195200000)/,IV/2007,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961632210)/,48
4802,DE,2,Frühjahrssession 2008,FS08,/Date(1204502400000)/,/Date(1205971200000)/,I/2008,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961638447)/,48
4803,DE,3,Sondersession April 2008,April08,/Date(1209340800000)/,/Date(1209340800000)/,II/2008,3,Sondersession (1 Woche),/Date(1598961629367)/,48
4804,DE,4,Sommersession 2008,SoSe08,/Date(1211760000000)/,/Date(1213315200000)/,II/2008,2,Ordentliche Sessionen (je 3 Wochen),/Date(1598961633350)/,48
